# name: E155-29.p
# comment: Taken from tables 1,2, 3. Bin in Q and x guessed by us.
# reference: hep-ex/0204028v1
# processType: G2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1,uncorrErr_2
E155-29.p.0,1,1,100,55.471444,0.8672991374746168,0.9215552445252149,0.8944271909999159,0.018500000000000003,0.0235,0.021,0.021,-0.037,0.026,0.0015748000000000001,0.0
E155-29.p.1,1,1,100,55.471444,0.9215552445252149,0.9987460731103327,0.9486832980505138,0.0235,0.032,0.026,0.026,-0.026,0.015,0.0015688000000000002,0.0
E155-29.p.2,1,1,100,55.471444,0.9987460731103327,1.0944921366346447,1.0488088481701516,0.032,0.0495,0.038,0.038,0.0033594490565497064,0.01,0.0015544,0.0015307851135763616
E155-29.p.3,1,1,100,55.471444,1.0944921366346447,1.202543244583245,1.140175425099138,0.0495,0.0795,0.061,0.061,-0.0007935943295768119,0.009,0.0015268,0.002078807626882512
E155-29.p.4,1,1,100,55.471444,1.202543244583245,1.3032759252836128,1.2649110640673518,0.0795,0.1265,0.098,0.098,-0.02335094229098883,0.009,0.0014824,0.003202725254334886
E155-29.p.5,1,1,100,55.471444,1.3032759252836128,1.3779271744364845,1.3416407864998738,0.1265,0.2,0.155,0.155,0.008556741250806042,0.01,0.0014140000000000001,0.0026194544160583586
E155-29.p.6,1,1,100,55.471444,1.3779271744364845,1.4316756184960195,1.4142135623730951,0.2,0.3125,0.245,0.245,0.025281095173400093,0.01,0.001306,0.0017549163269914407
E155-29.p.7,1,1,100,55.471444,1.4316756184960195,1.4665997307418683,1.449137674618944,0.3125,0.4475,0.38,0.38,0.05568354982333277,0.018,0.001144,0.0026535891750943865
E155-29.p.8,1,1,100,55.471444,1.5293371620797624,1.7569981829512344,1.6431676725154984,0.042499999999999996,0.0795,0.061,0.061,0.029351532422191507,0.061,0.0015268,0.002601028780088572
E155-29.p.9,1,1,100,55.471444,1.7569981829512344,1.9842231948636369,1.8708286933869707,0.0795,0.1265,0.098,0.098,0.010463229070911304,0.013,0.0014824,0.0037069750162676577
E155-29.p.10,1,1,100,55.471444,1.9842231948636369,2.199895291492285,2.0976176963403033,0.1265,0.2,0.155,0.155,-0.008645045439292958,0.009,0.0014140000000000001,0.002780317883202057
E155-29.p.11,1,1,100,55.471444,2.199895291492285,2.3859953468449806,2.3021728866442674,0.2,0.3125,0.245,0.245,0.010835064671311626,0.008,0.001306,0.0016245775430029257
E155-29.p.12,1,1,100,55.471444,2.3859953468449806,2.5291268140773253,2.4698178070456938,0.3125,0.48,0.38,0.38,-0.00048508159403316126,0.007,0.001144,0.002230425277075795
E155-29.p.13,1,1,100,55.471444,2.5291268140773253,2.6170935660867736,2.588435821108957,0.48,0.6799999999999999,0.58,0.58,-4.19044671581513e-05,0.006,0.0009040000000000002,0.0016085841679556487
E155-29.p.14,1,1,100,55.471444,2.6170935660867736,2.674409056042408,2.6457513110645907,0.6799999999999999,0.8800000000000001,0.78,0.78,-0.009215116126050277,0.003,0.0006640000000000001,0.0017206599861274126
E155-29.p.15,1,1,100,55.471444,2.4236605060870406,2.9055045317026504,2.6645825188948455,0.11,0.2,0.155,0.155,0.009189748108410396,0.024,0.0014140000000000001,0.002852727413349129
E155-29.p.16,1,1,100,55.471444,2.9055045317026504,3.382909379340613,3.146426544510455,0.2,0.3125,0.245,0.245,-0.003829234366394499,0.016,0.001306,0.0016126122872493949
E155-29.p.17,1,1,100,55.471444,3.382909379340613,3.8283590309040205,3.6193922141707713,0.3125,0.48,0.38,0.38,0.013122391137876197,0.013,0.001144,0.0020344093834986227
E155-29.p.18,1,1,100,55.471444,3.8283590309040205,4.163423982771357,4.03732584763727,0.48,0.6799999999999999,0.58,0.58,0.006519666182121265,0.01,0.0009040000000000002,0.0014114089048764575
E155-29.p.19,1,1,100,55.471444,4.163423982771357,4.41562025303953,4.2895221179054435,0.6799999999999999,0.8800000000000001,0.78,0.78,-0.005902873118231421,0.005,0.0006640000000000001,0.0013677754508673232
